id,level,category,topic,formula,explanation_id,example_en,example_id,tips_id,common_mistakes_id,cheatsheet_line
1,A1,Sentence Basics,Basic sentence structure (S + V + O),Pattern: Subject + Verb + Object,Struktur kalimat dasar yang menjadi fondasi semua bentuk kalimat lain.,I usually drink a large cup of freshly brewed coffee before starting my morning tasks.,Saya biasanya minum secangkir besar kopi yang baru diseduh sebelum memulai tugas pagi saya.,Gunakan pola ini untuk hampir semua jenis kalimat dasar.,Menambahkan preposition yang tidak perlu seperti 'I drink at coffee'.,S + V + O = pola dasar membangun kalimat.
2,A1,Parts of Speech,Parts of Speech (8 types),"Noun, Verb, Adjective, Adverb, Pronoun, Preposition, Conjunction, Determiner.",Kategori kata membantu memahami bagaimana kata bekerja dalam kalimat.,The incredibly talented young musician performed beautifully during the evening concert.,Musisi muda yang sangat berbakat itu tampil dengan indah selama konser malam.,Identifikasi fungsi kata untuk memahami struktur kalimat.,"Mencampur adjective dengan verb, contoh: 'I am boring' padahal maksudnya 'I am bored'.",Kenali fungsi tiap kata dalam kalimat.
3,A1,Pronouns,Subject Pronouns,"I, you, he, she, it, we, they.",Dipakai sebagai pelaku dalam kalimat.,She always arrives early because she hates being late for important meetings.,Dia selalu datang lebih awal karena dia benci terlambat untuk pertemuan penting.,Latih dengan mengganti nama menjadi pronoun yang sesuai.,Menggunakan nama + pronoun bersamaan seperti 'Anna she is...'.,Subject pronoun = pelaku kalimat.
4,A1,Pronouns,Object Pronouns,"me, you, him, her, it, us, them.",Digunakan setelah verb atau preposition.,The manager invited us to join the discussion even though we were not scheduled to attend.,Manajer mengundang kami untuk bergabung dalam diskusi meskipun kami tidak dijadwalkan hadir.,Gunakan jika kata tersebut menerima aksi.,Salah: 'She gave I a book'.,Object pronoun = penerima aksi.
5,A1,Determiners,This / That / These / Those,"This/These = dekat, That/Those = jauh.",Digunakan untuk menunjuk benda berdasarkan jarak.,"These documents need to be reviewed today, while those folders can wait until tomorrow.","Dokumen-dokumen ini harus diperiksa hari ini, sementara folder-folder itu bisa menunggu sampai besok.",Bayangkan jarak fisik saat memilih kata.,Kesalahan: 'These car' bukannya 'this car'.,This/that = tunggal; these/those = jamak.
6,A1,Verb to be,To be (am/is/are),am/is/are + complement,Menyatakan keadaan atau identitas.,He is extremely passionate about developing innovative solutions for environmental problems.,Dia sangat bersemangat untuk mengembangkan solusi inovatif untuk masalah lingkungan.,Gunakan be ketika tidak ada action verb.,Kesalahan: 'He are happy'.,am/is/are = bentuk to be present.
7,A1,Tenses,Simple Present,S + V1 (he/she/it + V1+s),Dipakai untuk kebiasaan dan fakta.,My sister works at a digital marketing agency where she manages several international clients.,Saudara perempuan saya bekerja di sebuah agensi digital marketing di mana dia menangani beberapa klien internasional.,Hati‑hati dengan he/she/it + s.,Kesalahan: 'He work…'.,Simple present = kebiasaan.
8,A1,Tenses,Present Continuous,S + am/is/are + V-ing,Aksi sedang berlangsung.,They are currently developing a new mobile application that aims to help users improve productivity.,Mereka sedang mengembangkan aplikasi mobile baru yang bertujuan membantu pengguna meningkatkan produktivitas.,Gunakan untuk aksi sementara.,Kesalahan: 'They working…' tanpa be.,Sedang berlangsung = V‑ing.
9,A1,Articles,a / an / the (basic),a/an untuk benda tunggal; the untuk benda spesifik.,Menentukan apakah benda itu umum atau spesifik.,"I bought a book yesterday, and the book turned out to be surprisingly insightful.","Saya membeli sebuah buku kemarin, dan buku itu ternyata sangat insightful.",Gunakan an sebelum bunyi vokal.,Kesalahan: 'a apple'.,a/an = perkenalan; the = spesifik.
10,A1,Questions,Yes/No Questions (do/does),Do/Does + S + V1?,Dipakai untuk pertanyaan ya/tidak.,"Do you prefer working from home, or do you feel more productive in the office?","Apakah kamu lebih suka bekerja dari rumah, atau kamu merasa lebih produktif di kantor?",Setelah do/does → V1.,Kesalahan: 'Does he likes…'.,Do/Does di awal pertanyaan.
11,A1,Questions,Wh‑ Questions,Wh‑word + do/does + S + V1,Untuk menanyakan informasi.,Why do people spend so much time on social media even when they know it's unproductive?,Mengapa orang menghabiskan begitu banyak waktu di media sosial meskipun mereka tahu itu tidak produktif?,Tambahkan Wh‑ word di depan pola yes/no questions.,Kesalahan: 'Where you live?'.,Wh + do/does + S + V1.
12,A1,Imperatives,Imperatives,Base verb (tanpa subject),Digunakan untuk instruksi atau perintah.,Please follow the safety guidelines carefully before operating the machine.,Tolong ikuti pedoman keselamatan dengan cermat sebelum mengoperasikan mesin.,Tambahkan 'please' untuk nada sopan.,Kesalahan: menambah subject 'You'.,Imperative = verb langsung di awal.
13,A1,Conjunctions,and / but / or,"and = tambahan, but = kontras, or = pilihan.",Menghubungkan dua ide.,"She wanted to relax after work, but she still had several urgent emails to respond to.","Dia ingin bersantai setelah kerja, tapi dia masih punya beberapa email penting untuk dibalas.",Pilih conjunction sesuai hubungan makna.,Memakai 'and' untuk kontras.,"and = tambah, but = kontras."
14,A1,Adjectives,Basic adjective use,Adjective + noun; be + adjective,Adjective memberi deskripsi.,The conference featured several insightful presentations from well‑known international researchers.,Konferensi tersebut menampilkan beberapa presentasi insightful dari peneliti internasional terkenal.,Adjective tidak berubah untuk plural.,Kesalahan: 'reds cars'.,Adj + noun atau be + adj.
15,A1,Prepositions,Prepositions of place,"in, on, at",Menjelaskan lokasi benda.,"The new café is located on the corner of the street, right next to the bookstore.","Kafe baru itu terletak di sudut jalan, tepat di sebelah toko buku.",Bayangkan posisi fisik untuk memilih preposition.,Kesalahan: 'in the corner' padahal maksudnya 'on the corner'.,in = dalam; on = permukaan; at = titik.
16,A1,Prepositions,Prepositions of time,"in, on, at",Digunakan untuk menunjukkan waktu terjadinya aksi.,The seminar will begin at 9 a.m. on Monday in the new auditorium.,Seminar akan dimulai jam 9 pagi pada hari Senin di auditorium baru.,In = besar; on = hari/tanggal; at = jam.,Kesalahan: 'in Monday'.,in/on/at sesuai tingkat waktu.
17,A1,Nouns,Countable/Uncountable (extended),Countable = bisa dihitung; Uncountable = konsep/unsur.,Memengaruhi artikel dan quantifier.,The company provided useful information and several detailed reports during the briefing.,Perusahaan memberikan informasi berguna dan beberapa laporan detail selama briefing.,"Hafalkan kata uncountable: advice, furniture, research.",Kesalahan: 'many informations'.,C/U memengaruhi artikel & quantifier.
18,A1,Sentence Basics,Affirmative statements,S + V (+ O/M),Kalimat pernyataan dasar.,The team members collaborate regularly to ensure that every project milestone is completed on time.,Anggota tim berkolaborasi secara rutin untuk memastikan setiap milestones proyek selesai tepat waktu.,Gunakan urutan SVO yang jelas.,Kesalahan: mencampur urutan kata.,SVO = pernyataan umum.
19,A1,Sentence Basics,Negative statements,S + do/does + not + V1,Untuk membuat kalimat negatif present tense.,The company does not allow employees to access confidential files without permission.,Perusahaan tidak mengizinkan karyawan mengakses file rahasia tanpa izin.,Ingat: verb bentuk dasar setelah don't/doesn't.,Kesalahan: 'doesn't allows'.,Don't/doesn't + V1.
20,A1,Vocabulary Grammar,Basic modifiers,Adj/adverb modifies noun/verb,Modifier menambah detail informasi.,The newly hired employee quickly adapted to the fast‑paced working environment.,Karyawan yang baru dipekerjakan itu dengan cepat beradaptasi dengan lingkungan kerja yang serba cepat.,Perhatikan apakah yang dimodifikasi noun atau verb.,Kesalahan: adverb menggantikan adjective.,Adj → noun; adv → verb/adj/adv.
