id,level,category,topic,formula,explanation_id,example_en,example_id,tips_id,common_mistakes_id,cheatsheet_line
501,C2,Syntax,Syntactic Ambiguity Resolution,Use structural cues and punctuation to avoid ambiguous modifier placement.,"Pada level C2, penulis harus mampu menghindari ambiguitas sintaksis yang muncul ketika modifier bisa mengarah ke dua makna berbeda.","The researchers discussed the impact of the policy with the minister, who later clarified the misinterpretations during the press briefing.","Para peneliti mendiskusikan dampak kebijakan tersebut dengan menteri, yang kemudian meluruskan salah tafsir saat konferensi pers.",Gunakan relative clause dengan jelas untuk menghindari ambigu.,Kesalahan: menempatkan pronoun 'who' sehingga rujukan tidak jelas.,Cegah ambiguitas dengan struktur jelas.
502,C2,Discourse,Advanced Discourse Markers (stance & transition),"namely, moreover, nonetheless, correspondingly, alternatively",Dipakai dalam tulisan akademik yang sangat kompleks untuk mengelola alur logika dan argumen.,"The proposal is promising; nonetheless, it requires substantial revision to address potential ethical concerns.","Proposal ini menjanjikan; namun demikian, proposal tersebut membutuhkan revisi besar untuk mengatasi potensi masalah etika.","Gunakan untuk transisi elegan, bukan filler.",Kesalahan: memakai discourse markers informal seperti 'basically' dalam konteks akademik.,Discourse markers = arahkan alur logika.
503,C2,Academic Grammar,Meta-Discourse Markers (writer-reader interaction),"It is worth noting…, This paper argues…, The findings suggest…",Meta-discourse membantu penulis mengarahkan pembaca dan menjelaskan struktur argumentasi.,It is worth noting that previous studies have predominantly focused on short-term outcomes rather than long-term impacts.,Perlu dicatat bahwa penelitian sebelumnya sebagian besar berfokus pada hasil jangka pendek daripada dampak jangka panjang.,Umum pada jurnal ilmiah.,Kesalahan: menyebutkan diri sendiri secara eksplisit ('I think') dalam tulisan akademik.,Meta-discourse = interaksi penulis-pembaca.
504,C2,Academic Grammar,Stance Verbs (advanced evaluation),"suggest, imply, assert, contend, hypothesize",Digunakan untuk menunjukkan sikap penulis terhadap argumen.,The data appears to imply that the intervention may have broader implications than initially anticipated.,Data tampaknya menunjukkan bahwa intervensi tersebut mungkin memiliki implikasi lebih luas daripada yang diperkirakan sebelumnya.,Cocok untuk kritik akademik.,Kesalahan: stance verbs dipakai tanpa hedging.,Stance verbs = posisi intelektual.
505,C2,Clauses,Advanced Nominal Clauses (embedded reasoning),"that + clause, wh- clause, if/whether clause","Pada level C2, nominal clause memuat konsep abstrak dan multi-layer reasoning.",That the majority of respondents expressed strong dissatisfaction indicates a deeper systemic issue within the organization.,Bahwa mayoritas responden menunjukkan ketidakpuasan kuat menunjukkan adanya masalah sistemik yang lebih dalam dalam organisasi.,Pastikan subject-clause tidak terlalu panjang.,Kesalahan: membuat nominal clause terlalu berat tanpa struktur jelas.,Nominal clauses = konsep abstrak.
506,C2,Passive Voice,C2 Passive Nominal Structures,Noun + be + V3 + prepositional phrase,Sering dipakai dalam laporan formal tingkat tinggi.,A comprehensive reassessment of the methodology was conducted in accordance with international research standards.,Penilaian ulang menyeluruh terhadap metodologi dilakukan sesuai standar penelitian internasional.,Cocok untuk formal reports.,Kesalahan: overpassive sehingga kalimat tidak hidup.,Passive nominal = suara formal.
507,C2,Academic Grammar,Complex Hedging (multi-layer uncertainty),"may potentially indicate…, could arguably suggest…",Hedging tingkat lanjut menggabungkan dua atau lebih layer kemungkinan.,The emerging trend could arguably suggest a shift in consumer behavior that may potentially reshape market priorities.,Tren yang muncul dapat dikatakan menunjukkan perubahan perilaku konsumen yang mungkin berpotensi mengubah prioritas pasar.,Gunakan untuk menyampaikan ketidakpastian secara elegan.,Kesalahan: hedging berlebihan hingga lemah.,Hedging multi-layer = akurat namun berhati-hati.
508,C2,Clauses,Concessive Fronting (C2 emphasis),"Much as…, Hard though it may seem…, Difficult as it is…",Untuk penekanan kontras dengan nuansa literer atau akademik tinggi.,"Hard though it may seem, the institution must undergo significant restructuring to meet global standards.","Sesulit kelihatannya, institusi tersebut harus mengalami restrukturisasi signifikan untuk memenuhi standar global.",Umum pada editorial/essay tingkat tinggi.,Kesalahan: memakai dalam konteks terlalu kasual.,Concessive fronting = penekanan elegan.
509,C2,Discourse,Discourse Deixis,"this/that referring to entire ideas/arguments, not objects",Digunakan untuk merujuk konsep abstrak atau bagian teks sebelumnya.,"The government promised new reforms, yet this has not addressed the underlying concerns raised by experts.","Pemerintah menjanjikan reformasi baru, namun hal ini tidak menangani kekhawatiran mendasar yang disampaikan para ahli.",Deixis abstrak = tingkat tinggi.,Kesalahan: menggunakan 'this' untuk referensi yang tidak jelas.,Deixis = referensi wacana.
510,C2,Syntax,Advanced Parallel Reasoning Chains,maintain consistent logic across multi-clause arguments,Cocok untuk esai argumentatif yang panjang.,The proposal not only emphasizes long-term sustainability but also highlights the necessity of immediate intervention while acknowledging economic constraints.,Proposal tersebut tidak hanya menekankan keberlanjutan jangka panjang tetapi juga menyoroti perlunya intervensi segera sambil mengakui keterbatasan ekonomi.,Gunakan untuk argumen kompleks.,Kesalahan: argumen tidak paralel.,Parallel reasoning = logika berlapis.
511,C2,Discourse,High-Level Thematic Progression,Theme → Rheme → new Theme pattern,Digunakan dalam tulisan akademik untuk alur argumen yang mulus.,"Climate change has intensified extreme weather events. These events, in turn, have forced governments to reconsider infrastructure priorities.",Perubahan iklim telah memperparah kejadian cuaca ekstrem. Kejadian-kejadian ini pada akhirnya memaksa pemerintah meninjau ulang prioritas infrastruktur.,Pastikan transisi antar kalimat jelas.,Kesalahan: tema berpindah terlalu cepat.,Theme progression = alur koheren.
512,C2,Clauses,Extended Participle Clauses,"V-ing/V3 clause expressing reasoning, time, concession",Memadatkan beberapa klausa menjadi satu.,"Having been exposed to multiple contradictory studies, the committee decided to postpone any final conclusions.","Setelah terpapar berbagai studi yang saling bertentangan, komite memutuskan menunda kesimpulan akhir.",Gunakan setelah memahami participle biasa.,Kesalahan: membuat subject ambigu.,Participle = ringkas & elegan.
513,C2,Conjunctions,C2 Logical Connectors,"inasmuch as, insofar as, notwithstanding, consequently",Digunakan dalam argumen akademik tingkat tinggi.,"Consequently, the lack of regulatory oversight has resulted in significant disparities across regional development programs.","Akibatnya, kurangnya pengawasan regulasi telah menghasilkan kesenjangan signifikan di seluruh program pengembangan regional.",Gunakan secara selektif.,Kesalahan: terlalu banyak formal connectors.,Connectors = kohesi logis.
514,C2,Modals,Epistemic Modality (certainty levels),"It is plausible that…, It is unlikely that…, It is conceivable that…",Digunakan dalam analisis akademik tingkat lanjut.,It is plausible that future AI-driven systems will surpass human capabilities in several specialized domains.,Masuk akal bahwa sistem berbasis AI di masa depan akan melampaui kemampuan manusia dalam beberapa domain khusus.,Gunakan untuk menyampaikan tingkat kepastian.,Kesalahan: mencampur epistemic & deontic secara acak.,Epistemic = tingkat kepastian.
515,C2,Clauses,Advanced Infinitival Clauses,To + V as subject complement or stance marker,Sering muncul di artikel dan tesis akademik.,"To better understand the structural limitations of the current model, researchers conducted an extensive two-phase evaluation.","Untuk lebih memahami keterbatasan struktural dari model saat ini, para peneliti melakukan evaluasi dua fase yang mendalam.",Gunakan sebagai pembuka paragraf.,Kesalahan: infinitive tanpa alasan jelas.,Infinitival clause = fungsi pengantar.
516,C2,Semantics,Metaphorical Extensions (C2 semantics),extend literal words to abstract contexts,Konsep penting dalam lexical sophistication.,"The economy is slowly recovering, but underlying structural fractures remain unaddressed.","Ekonomi perlahan pulih, tetapi retakan struktural yang mendasarinya masih belum ditangani.",Gunakan secara elegan.,Kesalahan: metafora terlalu literal.,Metaphors = gaya abstrak.
517,C2,Phrasal Verbs,Discontinuous Phrasal Verbs (C2),verb + object + particle,Umum di academic English tingkat tinggi.,The board set the proposal aside until more comprehensive data could be obtained.,Dewan menyisihkan proposal tersebut sampai data yang lebih komprehensif dapat diperoleh.,Perhatikan objek di tengah.,Kesalahan: menaruh particle di posisi salah.,Phrasal verb terpisah.
518,C2,Syntax,Abstract Subject Constructions,It + be + adj/noun + infinitive/that-clause,Struktur formal untuk menyoroti nilai atau evaluasi.,It is of paramount importance that policymakers recognize the long-term consequences of unrestricted industrial expansion.,Sangat penting bagi pembuat kebijakan untuk menyadari konsekuensi jangka panjang dari ekspansi industri tanpa batas.,Pakai di tulisan resmi.,Kesalahan: subject clause terlalu panjang.,It-structure = formal.
519,C2,Passive Voice,C2 Passive Reporting Structures,X is alleged/acknowledged/considered/observed + to + V1/V3,Struktur pasif akademik untuk menyampaikan klaim atau laporan.,The chemical compound is considered to pose significant health risks when exposed to high temperatures.,Senyawa kimia tersebut dianggap menimbulkan risiko kesehatan signifikan saat terpapar suhu tinggi.,Gunakan untuk nada objektif.,Kesalahan: menambahkan 'that' yang tidak perlu.,Passive reporting = objektivitas.
