id,level,category,topic,formula,explanation_id,example_en,example_id,tips_id,common_mistakes_id,cheatsheet_line
301,B2,Conditionals,Mixed Conditionals (Present result of past action),"If + past perfect, would + V1",Digunakan saat aksi masa lalu memengaruhi situasi sekarang.,"If I had saved more money during my early career, I would have far more flexibility in choosing projects today.","Jika saya menabung lebih banyak di awal karier, saya akan punya jauh lebih banyak fleksibilitas memilih proyek hari ini.",Gunakan untuk efek masa lalu → sekarang.,Kesalahan: memakai 'would have V3' di kedua sisi.,Past → present result.
302,B2,Conditionals,Mixed Conditionals (Past result of present state),"If + past simple, would have + V3",Situasi sekarang membayangkan hasil berbeda di masa lalu.,"If I were more confident, I would have applied for the scholarship last year.","Jika saya lebih percaya diri, saya akan sudah melamar beasiswa tahun lalu.",Biasanya dipakai dalam refleksi hidup.,Kesalahan: mencampur waktu yang tidak konsisten.,Present → past result.
303,B2,Passive Voice,Advanced Passive Structures (with reporting verbs),S + is/are + said/believed/thought + to + V1/V3,Dipakai untuk kalimat formal dan akademik.,The new policy is believed to significantly improve the company's internal communication structure.,Kebijakan baru tersebut diyakini dapat secara signifikan meningkatkan struktur komunikasi internal perusahaan.,Umum di IELTS Writing Task 2.,Kesalahan: 'is believed that to improve'.,Reporting passive = formal.
304,B2,Cleft Sentences,Cleft Sentences (It-cleft),It is/was + X + that/who + clause,Untuk menekankan bagian tertentu dari kalimat.,It was the innovative marketing strategy that helped the startup reach international recognition within a year.,Strategi pemasaran inovatif lah yang membantu startup tersebut mencapai pengakuan internasional dalam setahun.,Pakai untuk memberi fokus dramatis.,Kesalahan: salah posisi X.,It-cleft = fokus pada X.
305,B2,Cleft Sentences,Cleft Sentences (Wh-cleft / Pseudo-cleft),What + clause + be + X,Menekankan hasil atau makna utama kalimat.,What the team needs right now is a leader who can make decisive yet well‑evaluated decisions.,Yang dibutuhkan tim saat ini adalah seorang pemimpin yang dapat membuat keputusan tegas namun terukur.,Pakai untuk menunjukkan prioritas utama.,Kesalahan: tidak konsisten tense dalam clause.,What‑clause = fokus makna.
306,B2,Clauses,Nominal Clauses (that‑clause),S + V + that + clause,Membuat clause berfungsi sebagai noun.,The company acknowledged that the sudden system outage had affected thousands of users worldwide.,Perusahaan mengakui bahwa gangguan sistem tiba‑tiba telah memengaruhi ribuan pengguna di seluruh dunia.,Gunakan dalam academic writing.,Kesalahan: menghilangkan 'that' hingga membingungkan.,That‑clause = sebagai noun.
307,B2,Clauses,Nominal Clauses (whether/if),S + V + whether/if + clause,Untuk ketidakpastian dan pilihan.,The board has not decided whether they will approve the proposal or request further revisions.,Dewan belum memutuskan apakah mereka akan menyetujui proposal atau meminta revisi tambahan.,Prefer 'whether' untuk formal.,Kesalahan: 'whether or not' dipakai sembarangan.,Whether = pilihan; if = informal.
308,B2,Inversion,Inversion for Emphasis (negative adverbials),Rarely/Never/Seldom + auxiliary + subject + V,Untuk penekanan formal.,Never had the research team encountered such a complex dataset until last year's international project.,Belum pernah tim riset menghadapi dataset sekompleks itu sampai proyek internasional tahun lalu.,Sering muncul di teks akademik dan artikel jurnal.,Kesalahan: tidak membalik subject dan auxiliary.,Negative adverb + inversion.
309,B2,Inversion,Inversion After 'So' and 'Such',So + adj + that + inversion,Untuk penekanan formal.,So detailed was the final report that even the auditors praised its clarity and structure.,Begitu detail laporan akhirnya sehingga bahkan para auditor memuji kejernihan dan strukturnya.,Jadikan kalimat lebih elegan.,Kesalahan: tetap memakai pola normal.,So adj that + inversion = formal.
310,B2,Relative Clauses,Complex Relative Clauses,preposition + which/whom + clause,Digunakan untuk gaya akademik tingkat tinggi.,"The conference addressed several global challenges, many of which require cross‑border cooperation and long‑term investment.","Konferensi membahas beberapa tantangan global, banyak di antaranya membutuhkan kerja sama lintas negara dan investasi jangka panjang.",Lebih formal daripada that‑clauses.,Kesalahan: preposition di akhir pada konteks formal.,Preposition + which/whom = formal.
311,B2,Relative Clauses,Reduced Relative Clauses (participial),Noun + V3/V‑ing,Memadatkan klausa untuk membuat kalimat akademik lebih ringkas.,The students participating in the exchange program will receive additional cultural training.,Mahasiswa yang mengikuti program pertukaran akan menerima pelatihan budaya tambahan.,Gunakan untuk menghindari repetisi.,Kesalahan: salah paralelisme tense.,Reduced clause = lebih ringkas.
312,B2,Modals,Modal Perfect (should have / could have / might have),Modal + have + V3,Untuk refleksi masa lalu.,"You should have informed the team earlier, as the delay caused several unnecessary complications.","Kamu seharusnya memberi tahu tim lebih awal, karena keterlambatan menyebabkan beberapa komplikasi yang tidak perlu.",Hati‑hati nuansa makna tiap modal.,Kesalahan: 'should had'.,Modal + have + V3 = refleksi.
313,B2,Academic Grammar,Hedging Language (academic softening),"seems, suggests, appears, likely, possibly",Dipakai untuk melembutkan klaim akademik.,The results suggest that the new algorithm may significantly improve prediction accuracy in dynamic environments.,Hasil penelitian menunjukkan bahwa algoritma baru tersebut mungkin dapat meningkatkan akurasi prediksi di lingkungan dinamis.,Penting untuk IELTS Writing Task 2/Academic Paper.,Kesalahan: membuat klaim terlalu absolut.,Hedging = melembutkan klaim.
314,B2,Conjunctions,Contrast Structures (not only… but also…),Not only + clause + but also + clause,Untuk penekanan dua ide besar.,The upgraded system not only reduced operational costs but also improved overall service reliability.,Sistem yang ditingkatkan tidak hanya mengurangi biaya operasional tetapi juga meningkatkan keandalan layanan secara keseluruhan.,Gunakan dalam tulisan argumentatif.,Kesalahan: salah paralelism struktur.,Not only X but also Y.
315,B2,Determiners,Quantifiers (advanced academic),"a wide range of, a great deal of, a significant number of",Sering dipakai di tulisan akademik.,A significant number of participants reported improved focus after implementing the new productivity framework.,Sejumlah besar peserta melaporkan peningkatan fokus setelah menerapkan kerangka produktivitas baru.,Pilih quantifier sesuai jenis noun.,Kesalahan: mencampur countable/uncountable.,Academic quantifiers.
316,B2,Clauses,Complex Adverbial Clauses (concession),Although / Even though + clause,Untuk menyatakan kontras kompleks.,"Even though the team faced budget limitations, they managed to deliver high‑quality outputs throughout the year.","Meskipun tim menghadapi keterbatasan anggaran, mereka berhasil memberikan output berkualitas tinggi sepanjang tahun.",Concession memberikan efek tone akademik.,Kesalahan: 'even although'.,Strong contrast = even though.
317,B2,Clauses,Complex Adverbial Clauses (purpose),so that / in order that + clause,Menjelaskan tujuan secara lebih formal.,The instructions were rewritten so that users could troubleshoot the device without requiring technical assistance.,Instruksi ditulis ulang agar pengguna dapat melakukan troubleshooting perangkat tanpa bantuan teknis.,Gunakan pada teks formal.,Kesalahan: 'so that' diikuti noun.,Purpose clause = tujuan.
318,B2,Syntax,Ellipsis in English,Omitting repeated words for conciseness,Umum di percakapan dan tulisan modern.,"Some employees prefer remote work, while others choose the office because it helps them stay focused.","Beberapa karyawan lebih suka kerja jarak jauh, sementara yang lain memilih kantor karena membantu mereka tetap fokus.",Hilangkan kata yang sama untuk ringkas.,Kesalahan: menghilangkan kata yang penting.,Ellipsis = ringkas.
319,B2,Syntax,Parallel Structures,"X, Y, and Z with same grammar form","Membuat kalimat rapi, logis, dan profesional.","The new training program aims to improve employee communication, enhance critical‑thinking skills, and strengthen teamwork.","Program pelatihan baru bertujuan meningkatkan komunikasi karyawan, meningkatkan kemampuan berpikir kritis, dan memperkuat kerja tim.",Selalu konsisten dalam bentuk grammar.,"Kesalahan: campuran noun, verb, gerund.",Parallelism = konsistensi bentuk.
